Code,Code Type,Description,All Years,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CPT-0284T,CPT,REV/REMVL PG/ELCTRODES IMAGNG ADDN NEW ELCTRODES,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-0285T,CPT,ELEC ANLYS IMPLANT SUBQ FIELD STIM PG REPROGRAMM,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-0509F,CPT,URINARY INCONTINENCE PLAN OF CARE DOCUMENTED,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-0526F,CPT,SUBSEQUENT VISIT FOR EPISODE,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-0583F,CPT,TRANSFER OF CARE CHECKLIST USED,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-1000F,CPT,Tobacco use assessed (CAD  CAP  COPD  PV) (DM),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-10060,CPT,Incision and drainage of abscess (eg  carbuncle  suppurative hidradenitis  cutaneous or subcutaneous abscess  cyst  furuncle  or paronychia); simple or single,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-1006F,CPT,Osteoarthritis symptoms and functional status assessed (may include the use of a standardized scale or the completion of an assessment questionnaire  such as the SF-36  AAOS Hip & Knee Questionnaire) (OA) [Instructions: Report when osteoarthritis is addressed during the patient encounter],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-10121,CPT,Incision and removal of foreign body  subcutaneous tissues; complicated,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-10140,CPT,Incision and drainage of hematoma  seroma or fluid collection,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-10180,CPT,Incision and drainage  complex  postoperative wound infection,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-1030F,CPT,Influenza immunization status assessed (CAP),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-1034F,CPT,Current tobacco smoker (CAD  CAP  COPD  PV) (DM),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-1036F,CPT,Current tobacco non-user (CAD  CAP  COPD  PV) (DM),20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-1090F,CPT,PRESENCE/ABSENCE URINARY INCONTINENCE ASSESSED,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-1091F,CPT,URINE INCONTINENCE CHARACTERIZED,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-1101F,CPT,PT FALLS ASSESS DOCD W/O FALL/INJURY PAST YEAR,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-11042,CPT,Debridement; skin  and subcutaneous tissue,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-11043,CPT,Debridement; skin  subcutaneous tissue  and muscle,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-11045,CPT,DBRDMT SUBCUTANEOUS TISSUE EA ADDL 20 SQ CM,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-11057,CPT,Paring or cutting of benign hyperkeratotic lesion (eg  corn or callus); more than four lesions,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-11100,CPT,Biopsy of skin  subcutaneous tissue and/or mucous membrane (including simple closure)  unless otherwise listed; single lesion,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-11102,CPT,Tangential biopsy of skin (eg  shave  scoop  saucerize  curette); single lesion,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-11103,CPT,Tangential biopsy of skin (eg  shave  scoop  saucerize  curette); each separate/additional lesion (List separately in addition to code for primary procedure),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-1111F,CPT,DISCHRG MEDS RECONCILED W/CURRENT MED LIST,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-1123F,CPT,ADV CARE PLN TLKD & ALT DCSN MAKER DOCD,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-1125F,CPT,PAIN SEVERITY QUANTIFIED PAIN PRESENT,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-1126F,CPT,PAIN SEVERITY QUANTIFIED NO PAIN PRESENT,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-11301,CPT,Shaving of epidermal or dermal lesion  single lesion  trunk  arms or legs; lesion diameter 0.6 to 1.0 cm,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-11310,CPT,Shaving of epidermal or dermal lesion  single lesion  face  ears  eyelids  nose  lips  mucous membrane; lesion diameter 0.5 cm or less,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-11400,CPT,Excision  benign lesion including margins  except skin tag (unless listed elsewhere)  trunk  arms or legs; excised diameter 0.5 cm or less,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-11403,CPT,Excision  benign lesion including margins  except skin tag (unless listed elsewhere)  trunk  arms or legs; excised diameter 2.1 to 3.0 cm,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-11406,CPT,Excision  benign lesion including margins  except skin tag (unless listed elsewhere)  trunk  arms or legs; excised diameter over 4.0 cm,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-11421,CPT,Excision  benign lesion including margins  except skin tag (unless listed elsewhere)  scalp  neck  hands  feet  genitalia; excised diameter 0.6 to 1.0 cm,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-11424,CPT,Excision  benign lesion including margins  except skin tag (unless listed elsewhere)  scalp  neck  hands  feet  genitalia; excised diameter 3.1 to 4.0 cm,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-1159F,CPT,MEDICATION LIST DOCUMENTED IN MEDICAL RECORD,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-1170F,CPT,FUNCTIONAL STATUS ASSESSED,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-11720,CPT,Debridement of nail(s) by any method(s); one to five,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-11721,CPT,Debridement of nail(s) by any method(s); six or more,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-11750,CPT,Excision of nail and nail matrix  partial or complete  (eg  ingrown or deformed nail) for permanent removal;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-11981,CPT,Insertion  non-biodegradable drug delivery implant,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-12001,CPT,Simple repair of superficial wounds of scalp  neck  axillae  external genitalia  trunk and/or extremities (including hands and feet); 2.5 cm or less,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-12031,CPT,Layer closure of wounds of scalp  axillae  trunk and/or extremities (excluding hands and feet); 2.5 cm or less,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-12032,CPT,Layer closure of wounds of scalp  axillae  trunk and/or extremities (excluding hands and feet); 2.6 cm to 7.5 cm,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-12035,CPT,Layer closure of wounds of scalp  axillae  trunk and/or extremities (excluding hands and feet); 12.6 cm to 20.0 cm,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-12041,CPT,Layer closure of wounds of neck  hands  feet and/or external genitalia; 2.5 cm or less,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-12042,CPT,Layer closure of wounds of neck  hands  feet and/or external genitalia; 2.6 cm to 7.5 cm,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-1220F,CPT,PATIENT SCREENED DEPRESSION,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-13101,CPT,Repair  complex  trunk; 2.6 cm to 7.5 cm,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-13102,CPT,Repair  complex  trunk; each additional 5 cm or less (List separately in addition to code for primary procedure),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-13121,CPT,Repair  complex  scalp  arms  and/or legs; 2.6 cm to 7.5 cm,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-13132,CPT,Repair  complex  forehead  cheeks  chin  mouth  neck  axillae  genitalia  hands and/or feet; 2.6 cm to 7.5 cm,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-13133,CPT,Repair  complex  forehead  cheeks  chin  mouth  neck  axillae  genitalia  hands and/or feet; each additional 5 cm or less (List separately in addition to code for primary procedure),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-14020,CPT,Adjacent tissue transfer or rearrangement  scalp  arms and/or legs; defect 10 sq cm or less,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-14040,CPT,Adjacent tissue transfer or rearrangement  forehead  cheeks  chin  mouth  neck  axillae  genitalia  hands and/or feet; defect 10 sq cm or less,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-14301,CPT,ADJNT TIS TRNSFR/REARGMT ANY AREA 30.1-60 SQ CM,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-14302,CPT,ADJT TIS TRNSFR/REARGMT DEFEC EA ADDL 30 SQCM/<,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-15100,CPT,Split-thickness autograft  trunk  arms  legs; first 100 sq cm or less  or 1% of body area of infants and children (except 15050),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-15271,CPT,APP SKN SUB GRFT T/A/L AREA/100SQ CM /<1ST 25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-15734,CPT,Muscle  myocutaneous  or fasciocutaneous flap; trunk,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-15736,CPT,Muscle  myocutaneous  or fasciocutaneous flap; upper extremity,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-15750,CPT,Flap; neurovascular pedicle,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-15769,CPT,Unknown,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-15777,CPT,IMPLNT BIO IMPLNT FOR SOFT TISSUE REINFORCEMENT,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-17000,CPT,Destruction (eg  laser surgery  electrosurgery  cryosurgery  chemosurgery  surgical curettement)  premalignant lesions (eg  actinic keratoses); first lesion,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-17003,CPT,Destruction (eg  laser surgery  electrosurgery  cryosurgery  chemosurgery  surgical curettement)  premalignant lesions (eg  actinic keratoses); second through 14 lesions  each (List separately in addition to code for first lesion),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-17110,CPT,Destruction (eg  laser surgery  electrosurgery  cryosurgery  chemosurgery  surgical curettement)  of benign lesions other than skin tags or cutaneous vascular lesions; up to 14 lesions,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-17311,CPT,Mohs micrographic technique  including removal of all gross tumor  surgical excision of tissue specimens  mapping  color coding of specimens  microscopic examination of specimens by the surgeon  and histopathologic preparation including routine stain(s) (eg  hematoxylin and eosin  toluidine blue)  head  neck  hands  feet  genitalia  or any location with surgery directly involving muscle  cartilage  bone  tendon  major nerves  or vessels; first stage  up to 5 tissue blocks,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-17312,CPT,Mohs micrographic technique  including removal of all gross tumor  surgical excision of tissue specimens  mapping  color coding of specimens  microscopic examination of specimens by the surgeon  and histopathologic preparation including routine stain(s) (eg  hematoxylin and eosin  toluidine blue)  head  neck  hands  feet  genitalia  or any location with surgery directly involving muscle  cartilage  bone  tendon  major nerves  or vessels; each additional stage after the first stage  up to 5 tissue blocks (List separately in addition to code for primary procedure),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-17999,CPT,Unlisted procedure  skin  mucous membrane and subcutaneous tissue,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-19125,CPT,Excision of breast lesion identified by preoperative placement of radiological marker  open; single lesion,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-19290,CPT,Preoperative placement of needle localization wire  breast;,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-19301,CPT,Mastectomy  partial (eg  lumpectomy  tylectomy  quadrantectomy  segmentectomy);,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-19318,CPT,Reduction mammaplasty,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-2000F,CPT,Blood pressure  measured (HF  CAD  HTN),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-2001F,CPT,Weight recorded (HF),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-20225,CPT,Biopsy  bone  trocar  or needle; deep (eg  vertebral body  femur),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-2028F,CPT,Foot examination performed (includes examination through visual inspection  sensory exam with monofilament  and pulse exam  report when any of the three components are completed) (DM),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-2040F,CPT,PHYS EXAM ON DATE OF INIT VST FOR LBP DONE,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-20550,CPT,Injection(s); single tendon sheath  or ligament  aponeurosis (eg  plantar "fascia"),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-20551,CPT,Injection(s); single tendon origin/insertion,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-20552,CPT,Injection(s); single or multiple trigger point(s)  one or two muscle(s),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-20553,CPT,Injection(s); single or multiple trigger point(s)  three or more muscle(s),127,42,-1,-1,21,41,11,-1,-1,-1,-1,-1,-1 
CPT-20600,CPT,Arthrocentesis  aspiration and/or injection; small joint or bursa (eg  fingers  toes),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-20605,CPT,Arthrocentesis  aspiration and/or injection; intermediate joint or bursa (eg  temporomandibular  acromioclavicular  wrist  elbow or ankle  olecranon bursa),17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
CPT-20610,CPT,Arthrocentesis  aspiration and/or injection; major joint or bursa (eg  shoulder  hip  knee joint  subacromial bursa),162,-1,-1,-1,38,82,21,-1,-1,-1,-1,-1,-1 
