Code,Code Type,Description,Number of Patients
ICD-9-D-V1204,ICD-9-D,Personal history of Methicillin resistant Staphylococcus aureus,11
ICD-9-D-V1559,ICD-9-D,Personal history of other injury,11
ICD-9-D-V180,ICD-9-D,Family history of diabetes mellitus,11
ICD-9-D-V5399,ICD-9-D,Fitting and adjustment  other device,11
ICD-10-D-C61,ICD-10-D,Malignant neoplasm of prostate,12
ICD-10-D-E1151,ICD-10-D,Type 2 diabetes mellitus with diabetic peripheral angiopathy without gangrene,12
ICD-10-D-G43019,ICD-10-D,Migraine without aura  intractable  without status migrainosus,12
ICD-10-D-G4731,ICD-10-D,Primary central sleep apnea,12
ICD-10-D-G5692,ICD-10-D,Unspecified mononeuropathy of left upper limb,12
ICD-10-D-G5722,ICD-10-D,Lesion of femoral nerve  left lower limb,12
ICD-10-D-G5730,ICD-10-D,Lesion of lateral popliteal nerve  unspecified lower limb,12
ICD-10-D-G8922,ICD-10-D,Chronic post-thoracotomy pain,12
ICD-10-D-J9690,ICD-10-D,Respiratory failure  unspecified  unspecified whether with hypoxia or hypercapnia,12
ICD-10-D-K599,ICD-10-D,Functional intestinal disorder  unspecified,12
ICD-10-D-M2011,ICD-10-D,Hallux valgus (acquired)  right foot,12
ICD-10-D-M2041,ICD-10-D,Other hammer toe(s) (acquired)  right foot,12
ICD-10-D-M5411,ICD-10-D,Radiculopathy  occipito-atlanto-axial region,12
ICD-10-D-M5413,ICD-10-D,Radiculopathy  cervicothoracic region,12
ICD-10-D-M7062,ICD-10-D,Trochanteric bursitis  left hip,12
ICD-10-D-M75102,ICD-10-D,Unspecified rotator cuff tear or rupture of left shoulder  not specified as traumatic,12
ICD-10-D-R252,ICD-10-D,Cramp and spasm,12
ICD-10-D-Y838,ICD-10-D,Other surgical procedures as the cause of abnormal reaction of the patient  or of later complication  without mention of misadventure at the time of the procedure,12
ICD-10-D-Z89511,ICD-10-D,Acquired absence of right leg below knee,12
ICD-10-D-Z9889,ICD-10-D,Other specified postprocedural states,12
ICD-9-D-2469,ICD-9-D,Unspecified disorder of thyroid,12
ICD-9-D-2572,ICD-9-D,Other testicular hypofunction,12
ICD-9-D-3482,ICD-9-D,Benign intracranial hypertension,12
ICD-9-D-3548,ICD-9-D,Other mononeuritis of upper limb,12
ICD-9-D-4139,ICD-9-D,Other and unspecified angina pectoris,12
ICD-9-D-4780,ICD-9-D,Hypertrophy of nasal turbinates,12
ICD-9-D-60784,ICD-9-D,Impotence of organic origin,12
ICD-9-D-61883,ICD-9-D,Pelvic muscle wasting,12
ICD-9-D-6273,ICD-9-D,Postmenopausal atrophic vaginitis,12
ICD-9-D-7102,ICD-9-D,Sicca syndrome,12
ICD-9-D-71949,ICD-9-D,Pain in joint  multiple sites,12
ICD-9-D-72660,ICD-9-D,Enthesopathy of knee  unspecified,12
ICD-9-D-73679,ICD-9-D,Other acquired deformities of ankle and foot,12
ICD-9-D-78609,ICD-9-D,Other respiratory abnormalities,12
ICD-9-D-78862,ICD-9-D,Slowing of urinary stream,12
ICD-9-D-79093,ICD-9-D,Elevated prostate specific antigen [PSA],12
ICD-9-D-8054,ICD-9-D,Closed fracture of lumbar vertebra without mention of spinal cord injury,12
ICD-9-D-99700,ICD-9-D,Nervous system complication  unspecified,12
ICD-9-D-E8788,ICD-9-D,Other specified surgical operations and procedures causing abnormal patient reaction  or later complication  without mention of misadventure at time of operation,12
ICD-9-D-E9290,ICD-9-D,Late effects of motor vehicle accident,12
ICD-9-D-V103,ICD-9-D,Personal history of malignant neoplasm of breast,12
ICD-9-D-V1046,ICD-9-D,Personal history of malignant neoplasm of prostate,12
ICD-9-D-V153,ICD-9-D,Personal history of irradiation  presenting hazards to health,12
ICD-9-D-V643,ICD-9-D,Procedure not carried out for other reasons,12
ICD-10-D-E668,ICD-10-D,Other obesity,13
ICD-10-D-G43009,ICD-10-D,Migraine without aura  not intractable  without status migrainosus,13
ICD-10-D-G543,ICD-10-D,Thoracic root disorders  not elsewhere classified,13
ICD-10-D-G5602,ICD-10-D,Carpal tunnel syndrome  left upper limb,13
ICD-10-D-G5640,ICD-10-D,Causalgia of unspecified upper limb,13
ICD-10-D-G5783,ICD-10-D,Other specified mononeuropathies of bilateral lower limbs,13
ICD-10-D-G5793,ICD-10-D,Unspecified mononeuropathy of bilateral lower limbs,13
ICD-10-D-G893,ICD-10-D,Neoplasm related pain (acute) (chronic),13
ICD-10-D-M179,ICD-10-D,Osteoarthritis of knee  unspecified,13
ICD-10-D-M4696,ICD-10-D,Unspecified inflammatory spondylopathy  lumbar region,13
ICD-10-D-M5010,ICD-10-D,Cervical disc disorder with radiculopathy  unspecified cervical region,13
ICD-10-D-M5134,ICD-10-D,Other intervertebral disc degeneration  thoracic region,13
ICD-10-D-M79641,ICD-10-D,Pain in right hand,13
ICD-10-D-N186,ICD-10-D,End stage renal disease,13
ICD-10-D-N390,ICD-10-D,Urinary tract infection  site not specified,13
ICD-10-D-R001,ICD-10-D,Bradycardia  unspecified,13
ICD-10-D-R7303,ICD-10-D,Prediabetes,13
ICD-10-D-T85191A,ICD-10-D,Other mechanical complication of implanted electronic neurostimulator of peripheral nerve electrode (lead)  initial encounter,13
ICD-10-D-T85199A,ICD-10-D,Other mechanical complication of other implanted electronic stimulator of nervous system  initial encounter,13
ICD-10-D-Z20822,ICD-10-D,Contact with and (suspected) exposure to COVID-19,13
ICD-10-D-Z6834,ICD-10-D,Body mass index [BMI] 34.0-34.9  adult,13
ICD-10-D-Z6842,ICD-10-D,Body mass index [BMI] 45.0-49.9  adult,13
ICD-10-D-Z7289,ICD-10-D,Other problems related to lifestyle,13
ICD-10-D-Z7952,ICD-10-D,Long term (current) use of systemic steroids,13
ICD-10-D-Z930,ICD-10-D,Tracheostomy status,13
ICD-9-D-30401,ICD-9-D,Opioid type dependence  continuous,13
ICD-9-D-3380,ICD-9-D,Central pain syndrome,13
ICD-9-D-33920,ICD-9-D,Post-traumatic headache  unspecified,13
ICD-9-D-3576,ICD-9-D,Polyneuropathy due to drugs,13
ICD-9-D-56942,ICD-9-D,Anal or rectal pain,13
ICD-9-D-5920,ICD-9-D,Calculus of kidney,13
ICD-9-D-71591,ICD-9-D,Osteoarthrosis  unspecified whether generalized or localized  shoulder region,13
ICD-9-D-7179,ICD-9-D,Unspecified internal derangement of knee,13
ICD-9-D-73739,ICD-9-D,Other kyphoscoliosis and scoliosis,13
ICD-9-D-7823,ICD-9-D,Edema,13
ICD-9-D-78869,ICD-9-D,Other abnormality of urination,13
ICD-9-D-79029,ICD-9-D,Other abnormal glucose,13
ICD-9-D-8471,ICD-9-D,Sprain of thoracic,13
ICD-9-D-V143,ICD-9-D,Personal history of allergy to other anti-infective agent,13
ICD-9-D-V4364,ICD-9-D,Hip joint replacement,13
ICD-9-D-V7263,ICD-9-D,Pre-procedural laboratory examination,13
ICD-9-P-8694,ICD-9-P,Insertion or replacement of single array neurostimulator pulse generator  not specified as rechargeable,13
ICD-10-D-G5780,ICD-10-D,Other specified mononeuropathies of unspecified lower limb,14
ICD-10-D-G8111,ICD-10-D,Spastic hemiplegia affecting right dominant side,14
ICD-10-D-M19072,ICD-10-D,Primary osteoarthritis  left ankle and foot,14
ICD-10-D-M21371,ICD-10-D,Foot drop  right foot,14
ICD-10-D-M5127,ICD-10-D,Other intervertebral disc displacement  lumbosacral region,14
ICD-10-D-M5387,ICD-10-D,Other specified dorsopathies  lumbosacral region,14
ICD-10-D-M5388,ICD-10-D,Other specified dorsopathies  sacral and sacrococcygeal region,14
ICD-10-D-M7501,ICD-10-D,Adhesive capsulitis of right shoulder,14
ICD-10-D-M7502,ICD-10-D,Adhesive capsulitis of left shoulder,14
ICD-10-D-R1013,ICD-10-D,Epigastric pain,14
ICD-10-D-R278,ICD-10-D,Other lack of coordination,14
ICD-10-D-Z01818,ICD-10-D,Encounter for other preprocedural examination,14
ICD-10-D-Z6836,ICD-10-D,Body mass index [BMI] 36.0-36.9  adult,14
ICD-10-D-Z8249,ICD-10-D,Family history of ischemic heart disease and other diseases of the circulatory system,14
ICD-10-D-Z96612,ICD-10-D,Presence of left artificial shoulder joint,14
ICD-9-D-25001,ICD-9-D,Diabetes mellitus without mention of complication  type I [juvenile type]  not stated as uncontrolled,14
ICD-9-D-30002,ICD-9-D,Generalized anxiety disorder,14
ICD-9-D-33819,ICD-9-D,Other acute pain,14
ICD-9-D-34681,ICD-9-D,Other forms of migraine  with intractable migraine  so stated  without mention of status migrainosus,14
ICD-9-D-34830,ICD-9-D,Encephalopathy  unspecified,14
ICD-9-D-3508,ICD-9-D,Other specified trigeminal nerve disorders,14
ICD-9-D-3555,ICD-9-D,Tarsal tunnel syndrome,14
ICD-9-D-5533,ICD-9-D,Diaphragmatic hernia without mention of obstruction or gangrene,14
ICD-9-D-56400,ICD-9-D,Constipation  unspecified,14
ICD-9-D-5771,ICD-9-D,Chronic pancreatitis,14
ICD-9-D-70715,ICD-9-D,Ulcer of other part of foot,14
ICD-9-D-7092,ICD-9-D,Scar conditions and fibrosis of skin,14
ICD-9-D-71948,ICD-9-D,Pain in joint  other specified sites,14
ICD-9-D-72740,ICD-9-D,Synovial cyst  unspecified,14
ICD-9-D-73720,ICD-9-D,Lordosis (acquired) (postural),14
ICD-9-P-8698,ICD-9-P,Insertion or replacement of multiple array (two or more) rechargeable neurostimulator pulse generator,14
ICD-10-D-F064,ICD-10-D,Anxiety disorder due to known physiological condition,15
ICD-10-D-G250,ICD-10-D,Essential tremor,15
ICD-10-D-J439,ICD-10-D,Emphysema  unspecified,15
ICD-10-D-J4520,ICD-10-D,Mild intermittent asthma  uncomplicated,15
ICD-10-D-M25559,ICD-10-D,Pain in unspecified hip,15
ICD-10-D-M329,ICD-10-D,Systemic lupus erythematosus  unspecified,15
ICD-10-D-M419,ICD-10-D,Scoliosis  unspecified,15
ICD-10-D-M5117,ICD-10-D,Intervertebral disc disorders with radiculopathy  lumbosacral region,15
ICD-10-D-M9904,ICD-10-D,Segmental and somatic dysfunction of sacral region,15
ICD-10-D-N3010,ICD-10-D,Interstitial cystitis (chronic) without hematuria,15
ICD-10-D-T8789,ICD-10-D,Other complications of amputation stump,15
ICD-10-D-Y831,ICD-10-D,Surgical operation with implant of artificial internal device as the cause of abnormal reaction of the patient  or of later complication  without mention of misadventure at the time of the procedure,15
ICD-10-D-Z91041,ICD-10-D,Radiographic dye allergy status,15
ICD-10-D-Z9981,ICD-10-D,Dependence on supplemental oxygen,15
ICD-9-D-07070,ICD-9-D,Unspecified viral hepatitis C without hepatic coma,15
ICD-9-D-33812,ICD-9-D,Acute post-thoracotomy pain,15
ICD-9-D-33912,ICD-9-D,Chronic tension type headache,15
ICD-9-D-34511,ICD-9-D,Generalized convulsive epilepsy  with intractable epilepsy,15
ICD-9-D-3509,ICD-9-D,Trigeminal nerve disorder  unspecified,15
ICD-9-D-3869,ICD-9-D,Unspecified vertiginous syndromes and labyrinthine disorders,15
ICD-9-D-4779,ICD-9-D,Allergic rhinitis  cause unspecified,15
ICD-9-D-5932,ICD-9-D,Cyst of kidney  acquired,15
ICD-9-D-59970,ICD-9-D,Hematuria  unspecified,15
ICD-9-D-71538,ICD-9-D,Osteoarthrosis  localized  not specified whether primary or secondary  other specified sites,15
ICD-9-D-71595,ICD-9-D,Osteoarthrosis  unspecified whether generalized or localized  pelvic region and thigh,15
ICD-9-D-7856,ICD-9-D,Enlargement of lymph nodes,15
ICD-9-D-9531,ICD-9-D,Injury to dorsal nerve root,15
ICD-9-D-V5849,ICD-9-D,Other specified aftercare following surgery,15
ICD-9-D-V6700,ICD-9-D,Follow-up examination  following surgery  unspecified,15
ICD-9-D-V7260,ICD-9-D,Laboratory examination  unspecified,15
ICD-10-D-E780,ICD-10-D,Pure hypercholesterolemia,16
ICD-10-D-F4310,ICD-10-D,Post-traumatic stress disorder  unspecified,16
ICD-10-D-G519,ICD-10-D,Disorder of facial nerve  unspecified,16
ICD-10-D-G5690,ICD-10-D,Unspecified mononeuropathy of unspecified upper limb,16
ICD-10-D-G5721,ICD-10-D,Lesion of femoral nerve  right lower limb,16
ICD-10-D-G5731,ICD-10-D,Lesion of lateral popliteal nerve  right lower limb,16
ICD-10-D-G5770,ICD-10-D,Causalgia of unspecified lower limb,16
ICD-10-D-I639,ICD-10-D,Cerebral infarction  unspecified,16
ICD-10-D-I69354,ICD-10-D,Hemiplegia and hemiparesis following cerebral infarction affecting left non-dominant side,16
ICD-10-D-M19019,ICD-10-D,Primary osteoarthritis  unspecified shoulder,16
ICD-10-D-M25572,ICD-10-D,Pain in left ankle and joints of left foot,16
ICD-10-D-M722,ICD-10-D,Plantar fascial fibromatosis,16
ICD-10-D-R1031,ICD-10-D,Right lower quadrant pain,16
ICD-10-D-T85121A,ICD-10-D,Displacement of implanted electronic neurostimulator of peripheral nerve electrode (lead)  initial encounter,16
ICD-10-D-Z5181,ICD-10-D,Encounter for therapeutic drug level monitoring,16
ICD-9-D-3383,ICD-9-D,Neoplasm related pain (acute) (chronic),16
ICD-9-D-5363,ICD-9-D,Gastroparesis,16
ICD-9-D-5859,ICD-9-D,Chronic kidney disease  unspecified,16
ICD-9-D-5939,ICD-9-D,Unspecified disorder of kidney and ureter,16
ICD-9-D-71509,ICD-9-D,Osteoarthrosis  generalized  multiple sites,16
ICD-9-D-71943,ICD-9-D,Pain in joint  forearm,16
ICD-9-D-72291,ICD-9-D,Other and unspecified disc disorder  cervical region,16
ICD-9-D-7379,ICD-9-D,Unspecified curvature of spine,16
ICD-9-D-V5863,ICD-9-D,Long-term (current) use of antiplatelet/antithrombotic,16
ICD-9-D-V8801,ICD-9-D,Acquired absence of both cervix and uterus,16
ICD-10-D-F1920,ICD-10-D,Other psychoactive substance dependence  uncomplicated,17
ICD-10-D-G40919,ICD-10-D,Epilepsy  unspecified  intractable  without status epilepticus,17
ICD-10-D-K3184,ICD-10-D,Gastroparesis,17
ICD-10-D-M5440,ICD-10-D,Lumbago with sciatica  unspecified side,17
ICD-10-D-M5450,ICD-10-D,Unknown,17
ICD-10-D-R110,ICD-10-D,Nausea,17
ICD-10-D-Z6831,ICD-10-D,Body mass index [BMI] 31.0-31.9  adult,17
ICD-10-D-Z6843,ICD-10-D,Body mass index [BMI] 50.0-59.9  adult,17
ICD-10-D-Z7902,ICD-10-D,Long term (current) use of antithrombotics/antiplatelets,17
ICD-10-D-Z85828,ICD-10-D,Personal history of other malignant neoplasm of skin,17
ICD-10-D-Z96611,ICD-10-D,Presence of right artificial shoulder joint,17
ICD-10-D-Z969,ICD-10-D,Presence of functional implant  unspecified,17
ICD-9-D-25002,ICD-9-D,Diabetes mellitus without mention of complication  type II or unspecified type  uncontrolled,17
ICD-9-D-3331,ICD-9-D,Essential and other specified forms of tremor,17
ICD-9-D-40390,ICD-9-D,Hypertensive chronic kidney disease  unspecified  with chronic kidney disease stage I through stage IV  or unspecified,17
ICD-9-D-7391,ICD-9-D,Nonallopathic lesions  cervical region,17
ICD-9-D-79431,ICD-9-D,Nonspecific abnormal electrocardiogram [ECG] [EKG],17
ICD-9-D-99640,ICD-9-D,Unspecified mechanical complication of internal orthopedic device  implant  and graft,17
ICD-9-D-V141,ICD-9-D,Personal history of allergy to other antibiotic agent,17
ICD-9-D-V4586,ICD-9-D,Bariatric surgery status,17
ICD-10-D-E1165,ICD-10-D,Type 2 diabetes mellitus with hyperglycemia,18
ICD-10-D-G5742,ICD-10-D,Lesion of medial popliteal nerve  left lower limb,18
ICD-10-D-G6289,ICD-10-D,Other specified polyneuropathies,18
ICD-10-D-K6289,ICD-10-D,Other specified diseases of anus and rectum,18
ICD-10-D-M79662,ICD-10-D,Pain in left lower leg,18
ICD-10-D-N401,ICD-10-D,Benign prostatic hyperplasia with lower urinary tract symptoms,18
ICD-10-D-Z96653,ICD-10-D,Presence of artificial knee joint  bilateral,18
ICD-9-D-2689,ICD-9-D,Unspecified vitamin D deficiency,18
ICD-9-D-2722,ICD-9-D,Mixed hyperlipidemia,18
ICD-9-D-33822,ICD-9-D,Chronic post-thoracotomy pain,18
ICD-9-D-3553,ICD-9-D,Lesion of lateral popliteal nerve,18
ICD-9-D-4240,ICD-9-D,Mitral valve disorders,18
ICD-9-D-4279,ICD-9-D,Cardiac dysrhythmia  unspecified,18
ICD-9-D-78904,ICD-9-D,Abdominal pain  left lower quadrant,18
ICD-9-D-V4611,ICD-9-D,Dependence on respirator  status,18
ICD-9-D-V462,ICD-9-D,Other dependence on machines  supplemental oxygen,18
ICD-10-D-F319,ICD-10-D,Bipolar disorder  unspecified,19
ICD-10-D-G8194,ICD-10-D,Hemiplegia  unspecified affecting left nondominant side,19
ICD-10-D-M1611,ICD-10-D,Unilateral primary osteoarthritis  right hip,19
ICD-10-D-M4608,ICD-10-D,Spinal enthesopathy  sacral and sacrococcygeal region,19
ICD-10-D-M5382,ICD-10-D,Other specified dorsopathies  cervical region,19
ICD-10-D-M7910,ICD-10-D,Myalgia  unspecified site,19
ICD-10-D-M79602,ICD-10-D,Pain in left arm,19
ICD-10-D-R0602,ICD-10-D,Shortness of breath,19
ICD-10-D-T85698A,ICD-10-D,Other mechanical complication of other specified internal prosthetic devices  implants and grafts  initial encounter,19
ICD-10-D-Z6835,ICD-10-D,Body mass index [BMI] 35.0-35.9  adult,19
ICD-10-D-Z91040,ICD-10-D,Latex allergy status,19
ICD-10-D-Z96659,ICD-10-D,Presence of unspecified artificial knee joint,19
ICD-9-D-59972,ICD-9-D,Microscopic hematuria,19
ICD-9-D-71500,ICD-9-D,Osteoarthrosis  generalized  site unspecified,19
ICD-9-D-72142,ICD-9-D,Spondylosis with myelopathy  lumbar region,19
ICD-9-D-78906,ICD-9-D,Abdominal pain  epigastric,19
ICD-9-D-V8541,ICD-9-D,Body Mass Index 40.0-44.9  adult,19
ICD-10-D-G587,ICD-10-D,Mononeuritis multiplex,20
ICD-10-D-G8250,ICD-10-D,Quadriplegia  unspecified,20
ICD-10-D-M25569,ICD-10-D,Pain in unspecified knee,20
ICD-10-D-M4606,ICD-10-D,Spinal enthesopathy  lumbar region,20
ICD-10-D-M4727,ICD-10-D,Other spondylosis with radiculopathy  lumbosacral region,20
ICD-10-D-M79601,ICD-10-D,Pain in right arm,20
ICD-10-D-M9902,ICD-10-D,Segmental and somatic dysfunction of thoracic region,20
ICD-10-D-R519,ICD-10-D,Headache  unspecified,20
ICD-10-D-T85113A,ICD-10-D,Breakdown (mechanical) of implanted electronic neurostimulator  generator  initial encounter,20
ICD-10-D-Z7251,ICD-10-D,High risk heterosexual behavior,20
ICD-10-D-Z955,ICD-10-D,Presence of coronary angioplasty implant and graft,20
ICD-10-D-Z9989,ICD-10-D,Dependence on other enabling machines and devices,20
ICD-9-D-34621,ICD-9-D,Variants of migraine  not elsewhere classified  with intractable migraine  so stated  without mention of status migrainosus,20
ICD-9-D-72871,ICD-9-D,Plantar fascial fibromatosis,20
ICD-9-D-7804,ICD-9-D,Dizziness and giddiness,20
ICD-10-D-E079,ICD-10-D,Disorder of thyroid  unspecified,21
ICD-10-D-G603,ICD-10-D,Idiopathic progressive neuropathy,21
ICD-10-D-I739,ICD-10-D,Peripheral vascular disease  unspecified,21
ICD-10-D-M7542,ICD-10-D,Impingement syndrome of left shoulder,21
ICD-10-D-R569,ICD-10-D,Unspecified convulsions,21
ICD-9-D-2749,ICD-9-D,Gout  unspecified,21
ICD-9-D-71518,ICD-9-D,Osteoarthrosis  localized  primary  other specified sites,21
ICD-9-D-7239,ICD-9-D,Unspecified musculoskeletal disorders and symptoms referable to neck,21
ICD-9-D-78907,ICD-9-D,Abdominal pain  generalized,21
ICD-9-D-V146,ICD-9-D,Personal history of allergy to analgesic agent,21
ICD-10-D-B0222,ICD-10-D,Postherpetic trigeminal neuralgia,22
ICD-10-D-E559,ICD-10-D,Vitamin D deficiency  unspecified,22
ICD-10-D-E782,ICD-10-D,Mixed hyperlipidemia,22
ICD-10-D-G5762,ICD-10-D,Lesion of plantar nerve  left lower limb,22
ICD-10-D-M21372,ICD-10-D,Foot drop  left foot,22
ICD-10-D-M9901,ICD-10-D,Segmental and somatic dysfunction of cervical region,22
ICD-10-D-Z853,ICD-10-D,Personal history of malignant neoplasm of breast,22
ICD-9-D-29680,ICD-9-D,Bipolar disorder  unspecified,22
ICD-9-D-34551,ICD-9-D,Localization-related (focal) (partial) epilepsy and epileptic syndromes with simple partial seizures  with intractable epilepsy,22
ICD-9-D-4439,ICD-9-D,Peripheral vascular disease  unspecified,22
ICD-9-D-52463,ICD-9-D,Temporomandibular joint disorders  articular disc disorder (reducing or non-reducing),22
ICD-9-D-73390,ICD-9-D,Disorder of bone and cartilage  unspecified,22
ICD-9-D-78605,ICD-9-D,Shortness of breath,22
ICD-9-D-78652,ICD-9-D,Painful respiration,22
ICD-10-D-F1190,ICD-10-D,Opioid use  unspecified  uncomplicated,23
ICD-10-D-I119,ICD-10-D,Hypertensive heart disease without heart failure,23
ICD-10-D-N189,ICD-10-D,Chronic kidney disease  unspecified,23
ICD-10-D-R634,ICD-10-D,Abnormal weight loss,23
ICD-9-D-3529,ICD-9-D,Unspecified disorder of cranial nerves,23
ICD-9-D-72690,ICD-9-D,Enthesopathy of unspecified site,23
ICD-9-D-9530,ICD-9-D,Injury to cervical nerve root,23
ICD-10-D-G40909,ICD-10-D,Epilepsy  unspecified  not intractable  without status epilepticus,24
ICD-10-D-G5642,ICD-10-D,Causalgia of left upper limb,24
ICD-10-D-G5732,ICD-10-D,Lesion of lateral popliteal nerve  left lower limb,24
ICD-10-D-I480,ICD-10-D,Paroxysmal atrial fibrillation,24
ICD-10-D-M109,ICD-10-D,Gout  unspecified,24
ICD-10-D-M75101,ICD-10-D,Unspecified rotator cuff tear or rupture of right shoulder  not specified as traumatic,24
ICD-10-D-N183,ICD-10-D,Chronic kidney disease  stage 3 (moderate),24
ICD-10-D-R109,ICD-10-D,Unspecified abdominal pain,24
ICD-10-D-T85192A,ICD-10-D,Other mechanical complication of implanted electronic neurostimulator of spinal cord electrode (lead)  initial encounter,24
ICD-9-D-33394,ICD-9-D,Restless legs syndrome (RLS),24
ICD-9-D-34581,ICD-9-D,Other forms of epilepsy and recurrent seizures  with intractable epilepsy,24
ICD-9-D-6259,ICD-9-D,Unspecified symptom associated with female genital organs,24
ICD-9-D-73743,ICD-9-D,Scoliosis associated with other conditions,24
ICD-9-D-V4501,ICD-9-D,Cardiac pacemaker in situ,24
ICD-10-D-E1122,ICD-10-D,Type 2 diabetes mellitus with diabetic chronic kidney disease,25
ICD-10-D-G2581,ICD-10-D,Restless legs syndrome,25
ICD-10-D-G4489,ICD-10-D,Other headache syndrome,25
ICD-10-D-G5691,ICD-10-D,Unspecified mononeuropathy of right upper limb,25
ICD-10-D-M25519,ICD-10-D,Pain in unspecified shoulder,25
ICD-10-D-M79606,ICD-10-D,Pain in leg  unspecified,25
ICD-10-D-M9903,ICD-10-D,Segmental and somatic dysfunction of lumbar region,25
ICD-10-D-N3946,ICD-10-D,Mixed incontinence,25
ICD-10-D-Z90710,ICD-10-D,Acquired absence of both cervix and uterus,25
ICD-10-D-Z9884,ICD-10-D,Bariatric surgery status,25
ICD-9-D-470,ICD-9-D,Deviated nasal septum,25
ICD-9-D-7222,ICD-9-D,Displacement of intervertebral disc  site unspecified  without myelopathy,25
ICD-9-D-73313,ICD-9-D,Pathologic fracture of vertebrae,25
ICD-10-D-G549,ICD-10-D,Nerve root and plexus disorder  unspecified,26
ICD-10-D-G8114,ICD-10-D,Spastic hemiplegia affecting left nondominant side,26
ICD-10-D-G890,ICD-10-D,Central pain syndrome,26
ICD-10-D-M25611,ICD-10-D,Stiffness of right shoulder  not elsewhere classified,26
ICD-10-D-R1084,ICD-10-D,Generalized abdominal pain,26
ICD-10-D-R351,ICD-10-D,Nocturia,26
ICD-10-D-Z4549,ICD-10-D,Encounter for adjustment and management of other implanted nervous system device,26
ICD-10-D-Z79890,ICD-10-D,Hormone replacement therapy,26
ICD-9-D-33900,ICD-9-D,Cluster headache syndrome  unspecified,26
ICD-9-D-33989,ICD-9-D,Other headache syndromes,26
ICD-9-D-78903,ICD-9-D,Abdominal pain  right lower quadrant,26
ICD-10-D-G5761,ICD-10-D,Lesion of plantar nerve  right lower limb,27
ICD-10-D-I69398,ICD-10-D,Other sequelae of cerebral infarction,27
ICD-10-D-K5902,ICD-10-D,Outlet dysfunction constipation,27
ICD-10-D-M4722,ICD-10-D,Other spondylosis with radiculopathy  cervical region,27
ICD-10-D-M6281,ICD-10-D,Muscle weakness (generalized),27
ICD-10-D-T85111A,ICD-10-D,Breakdown (mechanical) of implanted electronic neurostimulator of peripheral nerve electrode (lead)  initial encounter,27
ICD-10-D-Z720,ICD-10-D,Tobacco use,27
ICD-10-D-Z951,ICD-10-D,Presence of aortocoronary bypass graft,27
ICD-9-D-2859,ICD-9-D,Anemia  unspecified,27
ICD-9-D-30781,ICD-9-D,Tension headache,27
